"","Nlist","Y.intv.5","Y.intv.25","Y.intv.50","Y.intv.75","Y.intv.95","Y.intv.mean","Y.multi.5","Y.multi.25","Y.multi.50","Y.multi.75","Y.multi.95","Y.multi.mean","Y.naive.5","Y.naive.25","Y.naive.50","Y.naive.75","Y.naive.95","Y.naive.mean","Y.exact.5","Y.exact.25","Y.exact.50","Y.exact.75","Y.exact.95","Y.exact.mean","Y.id.5","Y.id.25","Y.id.50","Y.id.75","Y.id.95","Y.id.mean"
"1",50,0,0,0,0,0,0,0.291675,0.2917666,0.2918379,0.2920477,0.2921001,0.2918835,0.0128042597806792,0.017157386505886,0.0314463758850942,0.0654829833858346,0.089701106076061,0.044311672124962,0.0130557909215927,0.0198824468502045,0.0329454009809256,0.0624169649811745,0.0865869536725426,0.0438446781194258,0.0130345820988655,0.0201706576594353,0.0365888745912075,0.0583584921689987,0.0873703449694061,0.0441983791595745
"2",100,0,0,0,0,0,0,0.29180308,0.2918506,0.2919239,0.2919477,0.29199314,0.29190358,0.0126891563483949,0.0186121709184662,0.0746361060109106,0.0904082060142379,0.0984445367820159,0.0590637010246904,0.0104848535858059,0.0169174027577877,0.072862793315506,0.0952592291128874,0.100702185869422,0.0591958133075094,0.0105111206077003,0.0169087861613274,0.0727134091745377,0.0962997101438284,0.100096535623279,0.0591758703384256
"3",150,0,0,0,0,0,0,0.29167342,0.2917367,0.2918304,0.2918338,0.29189164,0.29179292,0.016882763249163,0.0211322825861946,0.0336683308497411,0.0473560369644587,0.0611781511267242,0.036522142696518,0.0273447176535225,0.0340366997320175,0.0363401407144388,0.0564184641396046,0.0590627855546665,0.0424381785256783,0.0277227541525459,0.0340521596867562,0.0384340104104996,0.0568742347811699,0.0587841703481865,0.0429524923774719
"4",200,0,0,0,0,0,0,0.29170986,0.2917121,0.2917255,0.2917864,0.29189488,0.29177106,0.00634833671115992,0.0171589514549634,0.0364587096727989,0.0426143000651027,0.0458542863660044,0.0293083854318608,0.00798160706034662,0.0206214834653378,0.0288750171082497,0.0340994485415459,0.0410376972543907,0.0262379693013668,0.0077792284297085,0.0206269372903347,0.0272181352394104,0.0374414300121307,0.041503071187706,0.0264744570476055
"5",250,0,0,0,0,0,0,0.29168242,0.2917661,0.2918846,0.2918953,0.29196682,0.29183844,0.0136183814282557,0.0184616985354647,0.0209420228858757,0.0268835356298765,0.0457888198213966,0.0258419900143894,0.00966903584477421,0.0127768331726551,0.0226586611577988,0.0266100716421127,0.0418203358564949,0.0233121108790922,0.00904355722543715,0.0127816350718498,0.0225855374345303,0.0265925665030003,0.0417848524664021,0.0231303401460934
"6",300,0,0,0,0,0,0,0.29175408,0.2917564,0.2917634,0.2918141,0.29203058,0.29183442,0.0201522458115272,0.0219665391381709,0.0310875087695768,0.0390892915347997,0.0467085442380027,0.0320910738672434,0.0197722824329853,0.0215510651442051,0.0264607136140823,0.0389576143501917,0.0391849324243482,0.0291077483613094,0.0219208306380272,0.0229462416619301,0.0265740630219936,0.0384980916459083,0.0390975980696297,0.0297860697774887
"7",350,0,0,0,0,0,0,0.291743,0.2918034,0.291883,0.2918862,0.29196916,0.29185808,0.0174823219820474,0.0355928723318226,0.0372836363616088,0.0384790136783562,0.0439021799896393,0.0339136356667703,0.0106553287461839,0.0125826248538494,0.0229690861262866,0.0284969441484929,0.0294664659055151,0.0207862012385334,0.0100746945907402,0.0125780911755562,0.0275705613088131,0.027870386390543,0.0295858211176395,0.0214965128237724
"8",400,0,0,0,0,0,0,0.29189266,0.2919257,0.2919944,0.2920377,0.29207554,0.29198544,0.0175677476521231,0.0231810223858612,0.0278583128153028,0.0426519615152233,0.0748704307482347,0.0385561547483127,0.00408063054035662,0.00437820383303165,0.0146735035133124,0.0162104510937214,0.0280472726892185,0.0140549747490692,0.00341810453218458,0.00346742508649824,0.016274190810728,0.0162968970340252,0.0262077483272839,0.0136259496950912
"9",450,0,0,0,0,0,0,0.29169516,0.2918342,0.2918765,0.2918925,0.2919029,0.29183382,0.0113554646316365,0.0253490659946421,0.0325529683097826,0.0329054181011872,0.0460686189095665,0.0296047871616317,0.00237178124626375,0.00253886962281331,0.0142100452847481,0.0170148173721949,0.0337582264558665,0.0148075640317334,0.00225328805802346,0.0027626096203327,0.0133865954942703,0.0159882849208832,0.0335267951107216,0.0144349740722227
"10",500,0,0,0,0,0,0,0.29179882,0.2918169,0.2918405,0.2918703,0.29204054,0.29188102,0.00990198054465974,0.0126487595388651,0.0412717571512328,0.0537020293351927,0.0714679563011865,0.0385494539728168,0.012735616590991,0.013105587177062,0.0137062003078461,0.0182010384694576,0.0405768571392822,0.0207653523411155,0.00995608827170371,0.0130403750438213,0.0135836608783245,0.0200946964220047,0.0414093957917023,0.0205283639113903
"11",550,0,0,0,0,0,0,0.29181348,0.2918222,0.2919245,0.2919292,0.291964,0.29189198,0.0071252561758456,0.00999035851903066,0.0122464630177504,0.0232277487982276,0.0404274275016772,0.0193201796205195,0.00801504372356589,0.0085799781162522,0.0114792456677242,0.0153577978749319,0.0158293911697483,0.011847624255551,0.00901012143511771,0.00934318533205988,0.0122001950506687,0.0142096045318127,0.0170779720427608,0.0124949808591843
"12",600,0,0,0,0,0,0,0.29159244,0.291805,0.2918239,0.291899,0.2919414,0.29180384,0.00438930244700007,0.0101996274495295,0.0162294051834296,0.0262417266831921,0.0352326411350774,0.0186175700521135,0.00942372545303027,0.0100847560287316,0.0131342958217263,0.0184281581232548,0.0211317982124806,0.0145426772035209,0.00927365826270105,0.00979211460757255,0.0133980460395813,0.0178809457609654,0.0216541040586949,0.0145625088435459
"13",650,0,0,0,0,0,0,0.2918343,0.2918391,0.2918793,0.2920227,0.29207974,0.29193364,0.0103629656661186,0.015970677617255,0.0235883070527594,0.0424276672480205,0.047706175656507,0.0279946984709996,0.00420216732400305,0.00887846659907562,0.0102584734767914,0.010609580630462,0.0183629261686233,0.0106161751529455,0.00450110747831343,0.00896061482133867,0.00978907555093766,0.0100063546119213,0.0191637351102734,0.0107190711723232
"14",700,0,0,0,0,0,0,0.29174426,0.2918249,0.2919553,0.291967,0.29199012,0.29189344,0.0172081622903812,0.0186938515573096,0.0195903575737868,0.0236204156670854,0.0304940101893703,0.0221907547183545,0.0111828825010814,0.0192277067405071,0.0192667288895062,0.0244077241910168,0.0267925322351302,0.0198925141016827,0.0122643939996433,0.0191398586742878,0.0198859352754593,0.025070098543787,0.027621785999155,0.0205802256375027
"15",750,0,0,0,0,0,0,0.2918315,0.2918475,0.2918611,0.2918794,0.29203748,0.2918985,0.0065060351794315,0.0110580077337241,0.0303573738980203,0.0376772073916965,0.0641395049257514,0.0310431420747129,0.00830394421198047,0.00942858454714614,0.013434024553895,0.0222759805252472,0.0372692857983414,0.0188357971742185,0.00873745915768622,0.00941002004971503,0.0146880718135834,0.0203654212336063,0.0383836734347248,0.0191842137033176
"16",800,0,0,0,0,0,0,0.29177652,0.2918326,0.2918328,0.2919242,0.29194612,0.29186074,0.00672082088982849,0.0117362133764383,0.0219494497146703,0.0514519818041798,0.0641028714775534,0.0315740423118722,0.00630650464057026,0.0155070639718562,0.0179693522437021,0.0209686771107837,0.0218999738541922,0.016116851234827,0.00509482736310958,0.0152689257115364,0.0185691727817059,0.0190162246108532,0.0221397965420437,0.0156652630809879
"17",850,0,0,0,0,0,0,0.29185912,0.2918808,0.2919396,0.2919719,0.29201694,0.29193484,0.0101106420151221,0.0371546417607473,0.040871269047577,0.0429484350996859,0.0797162258242811,0.0426464322984312,0.0052506745650594,0.0157338119882584,0.0245934165754262,0.0275793286945399,0.0292233550218459,0.0200341618142313,0.00480568258017543,0.0152232390481472,0.025500446724844,0.026692596310854,0.0288587554135227,0.0198035741472435
"18",900,0,0,0,0,0,0,0.29176656,0.2917748,0.2917889,0.2918656,0.29198952,0.29184286,0.0137493308459155,0.0202507701667751,0.026777481817048,0.0422685454421355,0.0846739702129799,0.0393392189694701,0.00508652663599812,0.00540819436629352,0.0111103403979089,0.0118285602976799,0.0173084618854904,0.0104063284095499,0.00758627219828607,0.00917776327548027,0.0118112764408111,0.0121176502850532,0.0167685454912758,0.0116452717446327
