"","V1","V2","V3","V4","V5"
"1",0.143999999999998,0.112000000000002,0.122999999999998,0.114999999999995,0.189
"2",0.191000000000003,0.140000000000001,0.103999999999999,0.109000000000009,0.0660000000000025
"3",0.800999999999988,0.556000000000012,0.712000000000018,0.507000000000005,0.350999999999999
"4",0.147999999999968,0.29000000000002,0.26600000000002,0.15100000000001,0.0889999999999986
"5",0.259999999999991,0.146999999999991,0.151999999999987,0.159999999999968,0.112000000000023
"6",0.258000000000038,0.200000000000045,0.197000000000003,0.26400000000001,0.0960000000000036
"7",0.269999999999982,0.227999999999952,0.175999999999988,0.190999999999974,0.314999999999998
"8",0.183999999999969,0.257999999999925,0.145000000000095,0.185999999999922,0.0789999999999509
"9",0.33400000000006,0.305000000000064,0.263000000000034,0.231999999999971,0.0799999999999272
"10",0.191000000000031,0.141000000000076,0.145999999999958,0.148000000000025,0.0900000000000318
"11",0.164000000000101,0.154999999999973,0.169999999999959,0.174999999999955,0.0869999999999891
"12",0.287000000000035,0.23599999999999,0.146000000000072,0.150999999999954,0.0940000000000509
"13",0.147000000000048,0.158000000000015,0.161999999999921,0.162000000000035,0.0919999999999845
"14",0.192000000000007,0.19399999999996,0.212999999999965,0.200000000000045,0.100999999999999
"15",0.212999999999965,0.183999999999969,0.205000000000041,0.202999999999975,0.100999999999999
"16",0.227999999999952,0.235000000000014,0.213999999999942,0.231999999999971,0.0990000000000464
"17",0.202999999999975,0.245000000000005,0.271999999999935,0.25,0.114000000000033
"18",0.285000000000082,0.361999999999966,0.389999999999986,0.38799999999992,0.168999999999983
"19",0.212999999999965,0.222999999999956,0.265999999999963,0.257999999999925,0.282000000000153
"20",0.208000000000084,0.218000000000075,0.248000000000047,0.257000000000062,0.121000000000095
