"","Nlist","Y.intv.5","Y.intv.25","Y.intv.50","Y.intv.75","Y.intv.95","Y.intv.mean","Y.global.5","Y.global.25","Y.global.50","Y.global.75","Y.global.95","Y.global.mean","Y.plugin.5","Y.plugin.25","Y.plugin.50","Y.plugin.75","Y.plugin.95","Y.plugin.mean","Y.heuristic.5","Y.heuristic.25","Y.heuristic.50","Y.heuristic.75","Y.heuristic.95","Y.heuristic.mean","Y.id.5","Y.id.25","Y.id.50","Y.id.75","Y.id.95","Y.id.mean","Y.time.global.5","Y.time.global.25","Y.time.global.50","Y.time.global.75","Y.time.global.95","Y.time.global.mean","Y.time.heuristic.5","Y.time.heuristic.25","Y.time.heuristic.50","Y.time.heuristic.75","Y.time.heuristic.95","Y.time.heuristic.mean","Y.time.id.5","Y.time.id.25","Y.time.id.50","Y.time.id.75","Y.time.id.95","Y.time.id.mean","Y.time.naive.5","Y.time.naive.25","Y.time.naive.50","Y.time.naive.75","Y.time.naive.95","Y.time.naive.mean"
"1",50,0,0,0,0,0,0,0.0198256493805504,0.041780633386898,0.056302565392828,0.0657859017294884,0.0824660407416153,0.052968415876565,0.0330134657370388,0.0872863289643986,0.0877132848211249,0.101031716065035,0.113693248866397,0.0824670423694989,0.0198256493805504,0.041780633386898,0.056302565392828,0.0657859017294884,0.0824660407416153,0.052968415876565,0.0206029122023439,0.0447722966789484,0.0567658313184738,0.0656077136439324,0.0850666986815262,0.0543275705330944,0.794799999999998,1.286,1.297,1.299,1.3502,1.2054,0.721200000000002,0.950000000000003,0.952999999999996,0.983000000000004,1.0446,0.930360000000001,0.0389999999999944,0.0389999999999944,0.0429999999999993,0.0459999999999994,0.0476000000000013,0.0429199999999977,0.1126,0.114999999999995,0.122999999999998,0.143999999999998,0.18,0.134919999999998
"2",100,0,0,0,0,0,0,0.0261287848292732,0.0476216524189949,0.0476228482073784,0.0598310374333859,0.0864816487227917,0.053795081507349,0.0305134258131241,0.0436340821212706,0.200987076013354,0.255512750684157,0.293137999370991,0.165982296419514,0.0261287848292732,0.0476216524189949,0.0476228482073784,0.0598310374333859,0.0864816487227917,0.053795081507349,0.0267418096541309,0.0466004758125782,0.0477389916128159,0.0588166632368565,0.0854524568115711,0.0534089357964039,0.918999999999997,1.491,1.578,1.586,1.72039999999999,1.45888,0.783599999999998,1.062,1.11,1.146,1.1772,1.05576,0.0726000000000056,0.0829999999999984,0.0879999999999939,0.0919999999999987,0.104800000000003,0.0880799999999999,0.0736000000000018,0.103999999999999,0.109000000000009,0.140000000000001,0.180800000000002,0.121480000000003
"3",150,0,0,0,0,0,0,0.0245461818815867,0.0295270232825597,0.0436804830746651,0.0525358678277492,0.0564174903028774,0.0412864483275954,0.0162670270295909,0.0511260438788622,0.0594670978889321,0.0914937669491617,0.176656693533756,0.0815173213428267,0.0245461818815867,0.0295270232825597,0.0436804830746651,0.0525358678277492,0.0564174903028774,0.0412864483275954,0.0241007056575616,0.0291142161656538,0.0437024846391678,0.0520847724255085,0.0563035962575245,0.0410214206952794,5.56860000000001,6.667,7.06900000000002,7.119,7.4286,6.77044000000001,4.2058,5.24099999999999,5.69999999999999,6.58500000000001,7.20419999999999,5.78719999999999,0.177799999999996,0.39700000000002,0.869,0.920000000000016,1.03680000000001,0.680120000000007,0.3822,0.507000000000005,0.556000000000012,0.712000000000018,0.783199999999994,0.588080000000006
"4",200,0,0,0,0,0,0,0.0221795920089436,0.0241522160597325,0.0346569439980507,0.0357175972324371,0.0386637768031693,0.0311227029964638,0.0293092779602286,0.0411961714028967,0.0645541256685278,0.0707511304444303,0.0787709419732886,0.0567229753941839,0.0221795920089436,0.0241522160597325,0.0346569439980507,0.0357175972324371,0.0386637768031693,0.0311227029964638,0.0219586167291355,0.0240867463179111,0.0346461330938458,0.0357351597410202,0.0388719537736511,0.0311101551533055,1.24219999999998,1.97500000000002,2.04599999999999,2.28200000000004,2.47880000000002,2.00480000000001,1.05980000000002,1.70699999999999,1.82400000000001,1.875,1.8846,1.67008,0.0591999999999871,0.0919999999999845,0.113,0.148000000000025,0.156799999999998,0.113799999999999,0.100799999999992,0.147999999999968,0.15100000000001,0.26600000000002,0.28520000000002,0.190200000000002
"5",250,0,0,0,0,0,0,0.00388902079047205,0.0142003752187252,0.0300072535110474,0.0319519169777155,0.0384082911634684,0.0234986225201607,0.0300371519047625,0.03219280084382,0.0698265540700537,0.081877265232538,0.0820437204728383,0.0590960388198646,0.00388902079047205,0.0142003752187252,0.0300072535110474,0.0319519169777155,0.0384082911634684,0.0234986225201607,0.00387206103385927,0.0142136856809616,0.029844987316227,0.0319601052700996,0.0384164098018646,0.0234671838148356,1.19019999999999,1.60300000000001,1.63200000000001,1.642,1.83479999999998,1.5804,0.986400000000026,1.17600000000004,1.209,1.21100000000001,1.33420000000001,1.18332000000002,0.0633999999999673,0.0889999999999986,0.0919999999999845,0.0930000000000177,0.113,0.0900799999999936,0.119000000000017,0.146999999999991,0.151999999999987,0.159999999999968,0.239999999999986,0.16359999999999
"6",300,0,0,0,0,0,0,0.0036826153630241,0.00431830303830306,0.00661772455954556,0.0217904280626297,0.025037744741923,0.0124199446032858,0.0513777161472968,0.066420276694581,0.0726900568422642,0.236103761488741,0.237386094718854,0.132107569812489,0.0036826153630241,0.00431830303830306,0.00661772455954556,0.0217904280626297,0.025037744741923,0.0124199446032858,0.00358111789169154,0.0042653905050198,0.00658277306640148,0.0216691406571388,0.0249209647191429,0.0123322549403127,1.41179999999997,2.70699999999999,2.79899999999998,2.88300000000004,3.01260000000002,2.56268,1.08940000000002,1.71100000000001,1.72300000000001,1.798,1.94759999999997,1.6538,0.0635999999999967,0.0860000000000127,0.125,0.12700000000001,0.127799999999991,0.105880000000002,0.116200000000003,0.197000000000003,0.200000000000045,0.258000000000038,0.262800000000016,0.206800000000021
"7",350,0,0,0,0,0,0,0.0145314354498577,0.0168546325601101,0.0207064963808945,0.0208975052875451,0.0279334942646776,0.020420352381961,0.0577159724831706,0.0665625452638347,0.0722871261610252,0.152169954000657,0.241072459449647,0.121964408105083,0.0145314354498577,0.0168546325601101,0.0207064963808945,0.0208975052875451,0.0279334942646776,0.020420352381961,0.01459839083745,0.0168537012375355,0.0206926594393457,0.0209549123516423,0.0279420555608,0.0204449355258083,1.364,2.13600000000002,2.15600000000001,2.29199999999997,2.71280000000003,2.13216000000001,1.18720000000001,1.54399999999998,2.37700000000001,2.459,2.47579999999997,2.00859999999999,0.073800000000017,0.0930000000000177,0.143000000000029,0.185000000000002,0.197799999999972,0.138520000000008,0.178999999999985,0.190999999999974,0.227999999999952,0.269999999999982,0.305999999999994,0.234799999999977
"8",400,0,0,0,0,0,0,0.00456056474953412,0.00939171860545878,0.0110599252999246,0.0123577213952064,0.0277944901899147,0.0135631647949469,0.0216542109938852,0.0456179443672216,0.0538445932412913,0.104151187205602,0.174415949572269,0.0822518285257205,0.00456056474953412,0.00939171860545878,0.0110599252999246,0.0123577213952064,0.0277944901899147,0.0135631647949469,0.00460731482006133,0.00938637267418211,0.0111040847141713,0.0123532882997513,0.0278446430281448,0.0135947555509758,0.963600000000042,1.53400000000011,1.68100000000004,1.79399999999998,2.18440000000003,1.63140000000004,0.766800000000035,1.01400000000001,1.09099999999989,1.15300000000002,1.26419999999994,1.05779999999998,0.049399999999946,0.0629999999999882,0.0720000000000027,0.0920000000000982,0.1,0.075280000000007,0.0921999999999798,0.145000000000095,0.183999999999969,0.185999999999922,0.243599999999924,0.170159999999978
"9",450,0,0,0,0,0,0,0.0129903902664375,0.0176282549776395,0.0269682693878386,0.0288904228405581,0.0461754115497175,0.0271629060043361,0.0123166983663895,0.0148944523019007,0.0458680825385211,0.0949681567103156,0.235349245806591,0.0875694939027817,0.0129903902664375,0.0176282549776395,0.0269682693878386,0.0288904228405581,0.0461754115497175,0.0271629060043361,0.0129952479522684,0.0176516489066442,0.0268498233688779,0.0289352050519414,0.0461660368417803,0.0271483139660756,1.07840000000008,2.25200000000007,2.25300000000004,2.92999999999995,2.93399999999995,2.28948000000002,0.902199999999971,1.73500000000001,1.81699999999989,1.86099999999999,1.87059999999994,1.63715999999996,0.0539999999999964,0.0779999999999745,0.0960000000000036,0.110000000000014,0.126800000000071,0.0929600000000119,0.110399999999936,0.231999999999971,0.263000000000034,0.305000000000064,0.328200000000061,0.247720000000013
"10",500,0,0,0,0,0,0,0.0151600832703114,0.0163594021156788,0.0192004347080469,0.0236117654390812,0.0253619327784443,0.0199662660870123,0.0336958323988032,0.0435284089164033,0.0474549062232915,0.0704616564001333,0.0720006396639506,0.0530136090578272,0.0151600832703114,0.0163594021156788,0.0192004347080469,0.0236117654390812,0.0253619327784443,0.0199662660870123,0.0151639025154114,0.0164642145887375,0.0192021110886812,0.0235710964448929,0.0253500553310775,0.019974208334403,1.21039999999996,1.38800000000003,1.58699999999999,1.65999999999997,1.67679999999993,1.50443999999998,0.881600000000003,1.428,1.5440000000001,1.56799999999998,1.58959999999993,1.40224,0.0475999999999885,0.0819999999999936,0.0819999999999936,0.0860000000000127,0.107600000000048,0.0810400000000072,0.100200000000041,0.141000000000076,0.145999999999958,0.148000000000025,0.18240000000003,0.143520000000026
