"","V1","V2","V3","V4","V5"
"1",1.363,1.286,1.297,1.299,0.671999999999997
"2",1.75399999999999,1.491,1.586,1.578,0.775999999999996
"3",7.506,6.667,7.06900000000002,7.119,5.29400000000001
"4",2.28200000000004,2.04599999999999,1.97500000000002,2.52800000000002,1.05899999999997
"5",1.88299999999998,1.60300000000001,1.63200000000001,1.642,1.08699999999999
"6",3.04500000000002,2.79899999999998,2.88300000000004,2.70699999999999,1.08799999999997
"7",2.81800000000004,2.15600000000001,2.13600000000002,2.29199999999997,1.17099999999999
"8",1.68100000000004,2.28200000000004,1.79399999999998,1.53400000000011,0.821000000000026
"9",2.92999999999995,2.93499999999995,2.25200000000007,2.25300000000004,0.785000000000082
"10",1.38800000000003,1.58699999999999,1.65999999999997,1.68099999999993,1.16599999999994
"11",1.66799999999989,1.63400000000001,1.67600000000004,1.67000000000007,0.858000000000061
"12",2.18799999999999,1.76999999999998,1.72299999999996,1.74199999999996,0.868999999999915
"13",1.51599999999996,1.47000000000003,1.58600000000001,1.56399999999996,0.840000000000032
"14",2.03800000000001,1.7700000000001,1.899,1.97499999999991,0.962999999999965
"15",1.84300000000007,2.33900000000006,1.83600000000001,1.78100000000006,0.928000000000111
"16",2.02100000000007,1.98400000000004,2.08199999999999,2.06799999999998,0.91599999999994
"17",2.16200000000003,2.43200000000002,2.24900000000002,2.25799999999992,1.04300000000001
"18",3.15300000000002,3.01099999999997,2.96399999999994,2.87400000000002,1.53899999999999
"19",1.82600000000002,1.93200000000002,2.12700000000007,2.15800000000002,1.34799999999996
"20",2.02099999999996,1.90200000000004,1.846,1.8599999999999,1.06899999999996
