"","V1","V2","V3","V4","V5"
"1",1.06,0.950000000000003,0.952999999999996,0.983000000000004,0.664000000000001
"2",1.146,1.185,1.062,1.11,0.713999999999999
"3",5.69999999999999,7.35899999999998,5.24099999999999,6.58500000000001,3.947
"4",1.82400000000001,1.887,1.875,1.70699999999999,0.898000000000025
"5",1.36500000000001,1.17600000000004,1.21100000000001,1.209,0.939000000000021
"6",1.98499999999996,1.72300000000001,1.798,1.71100000000001,0.934000000000026
"7",1.54399999999998,2.459,2.37700000000001,2.47999999999996,1.09800000000001
"8",1.29199999999992,1.01400000000001,1.15300000000002,1.09099999999989,0.705000000000041
"9",1.73500000000001,1.86099999999999,1.87299999999993,1.81699999999989,0.69399999999996
"10",1.428,1.56799999999998,1.5440000000001,1.59499999999991,0.745000000000005
"11",1.37700000000007,1.34199999999998,1.36900000000003,1.42199999999991,0.740999999999985
"12",1.27499999999998,1.29500000000007,1.226,1.2349999999999,0.728999999999928
"13",1.45000000000005,1.36000000000001,1.25999999999999,1.29300000000001,0.750999999999976
"14",1.46300000000008,1.54499999999996,1.52700000000004,1.58900000000006,0.77800000000002
"15",1.36299999999994,1.524,1.40099999999995,1.32000000000005,0.786999999999921
"16",1.83899999999994,1.74599999999998,1.82299999999998,1.81200000000001,0.808000000000106
"17",2.34400000000005,2.15999999999997,2.23900000000003,2.25599999999997,0.875999999999976
"18",2.44499999999994,2.50300000000004,2.53399999999999,2.51800000000003,1.274
"19",1.41100000000006,1.447,1.51199999999994,1.52100000000007,1.07999999999993
"20",1.53999999999996,1.57299999999987,1.53300000000013,1.53399999999988,0.964999999999918
