"","Nlist","Y.intv.5","Y.intv.25","Y.intv.50","Y.intv.75","Y.intv.95","Y.intv.mean","Y.global.5","Y.global.25","Y.global.50","Y.global.75","Y.global.95","Y.global.mean","Y.plugin.5","Y.plugin.25","Y.plugin.50","Y.plugin.75","Y.plugin.95","Y.plugin.mean","Y.heuristic.5","Y.heuristic.25","Y.heuristic.50","Y.heuristic.75","Y.heuristic.95","Y.heuristic.mean","Y.id.5","Y.id.25","Y.id.50","Y.id.75","Y.id.95","Y.id.mean","Y.time.global.5","Y.time.global.25","Y.time.global.50","Y.time.global.75","Y.time.global.95","Y.time.global.mean","Y.time.heuristic.5","Y.time.heuristic.25","Y.time.heuristic.50","Y.time.heuristic.75","Y.time.heuristic.95","Y.time.heuristic.mean","Y.time.id.5","Y.time.id.25","Y.time.id.50","Y.time.id.75","Y.time.id.95","Y.time.id.mean","Y.time.naive.5","Y.time.naive.25","Y.time.naive.50","Y.time.naive.75","Y.time.naive.95","Y.time.naive.mean"
"1",50,0,0,0,0,0,0,0.0253890680276489,0.0417485401382446,0.0690655712707519,0.0745163826288223,0.114995728350105,0.066349051763649,0.0631842875190917,0.0641651105384408,0.0668266415520352,0.0807903660523336,0.103794247547128,0.0768532835655781,0.0529694894911194,0.131892968231583,0.1385320327034,0.159521568260956,0.221994366985626,0.140159551133747,0.0523916325928116,0.142468160802269,0.143614726995468,0.158433900318909,0.225510544639893,0.143333798875446,1.8748,2.474,2.569,2.643,2.675,2.44716,1.06480000000001,1.248,1.329,1.359,1.367,1.27356,0.308799999999999,0.335999999999999,0.372999999999998,0.381999999999998,0.389999999999996,0.357959999999998,0.170399999999999,0.192,0.213000000000001,0.219000000000001,0.2806,0.215
"2",100,0,0,0,0,0,0,0.0155172618015671,0.0253368296369552,0.0434967169246674,0.0450218553668976,0.0517387316765595,0.036067144505043,0.0483637426150577,0.0516096965093535,0.0576447795925039,0.061748496895539,0.0941181884070078,0.064153167684751,0.0834813144745636,0.0847116167671204,0.0936586334126472,0.134507975746584,0.142269925515261,0.108052475557041,0.086150942975502,0.0866952277547836,0.0971205540316582,0.134774659593296,0.14461979628643,0.110337278724027,2.331,3.235,3.375,3.408,3.6336,3.19652,1.23999999999999,1.84,1.849,1.875,1.93420000000001,1.74764,0.333400000000003,0.458999999999989,0.478999999999999,0.533999999999992,0.6524,0.491559999999997,0.0891999999999939,0.129999999999995,0.150000000000006,0.15100000000001,0.459799999999996,0.196
"3",150,0,0,0,0,0,0,0.023630347498703,0.034822537493515,0.0492716265645981,0.0604678732458115,0.0848294267914963,0.0512628304963684,0.0209357751178514,0.0428591381897591,0.0648270025927918,0.0832020925098084,0.0955476947666125,0.0609954525946095,0.0287592020266215,0.0320782304466248,0.0896047562298457,0.123439652795792,0.15916576418204,0.0882298752844969,0.0291920815937678,0.0321872217119217,0.0908258467850367,0.124831285154025,0.159912177214254,0.0889940100889047,2.54639999999998,3.964,3.97399999999999,3.988,3.99119999999999,3.69271999999999,1.35640000000001,2.00999999999999,2.048,2.054,2.06440000000001,1.90656,0.471199999999993,0.623999999999995,0.623999999999995,0.62700000000001,0.637400000000014,0.596720000000001,0.157999999999998,0.174000000000007,0.175999999999988,0.188000000000017,0.208800000000002,0.180960000000002
"4",200,0,0,0,0,0,0,0.00873375476219179,0.0106609961406708,0.0250085636510849,0.0265115208152771,0.0404468868791199,0.0228727506839371,0.0227495737774799,0.0287896154093022,0.0333571339351728,0.0491980366082617,0.0610067813246029,0.0393086633651899,0.0192123043056488,0.0368399373415947,0.0608595077595949,0.0687749604151964,0.0716670521906137,0.0507339753395033,0.0195476979728699,0.0367356989506722,0.0616127288989067,0.0698775550739288,0.0725168142578125,0.0513306619411421,2.96619999999999,5.24299999999999,5.35399999999998,5.51499999999999,5.6366,4.94295999999999,1.6368,2.61600000000001,2.65899999999999,2.65900000000002,2.69580000000001,2.45332000000001,0.583199999999999,1.012,1.03300000000002,1.03700000000001,1.07699999999999,0.948440000000003,0.269600000000003,0.319999999999993,0.381,0.418000000000006,0.505999999999995,0.378919999999999
"5",250,0,0,0,0,0,0,0.0129019353410339,0.0208049,0.0330246582588196,0.0516093550329208,0.0531539436948776,0.0339810396656799,0.0258421818840365,0.0277267305455809,0.0320830055285431,0.0577816957973853,0.0842404513059534,0.046763523354651,0.0257349629764938,0.048661579992485,0.0865837269872665,0.0975389929107666,0.120134306299438,0.0757141486519241,0.0263108707433128,0.0489508602282524,0.0872592203468323,0.0981863252214432,0.120685856616249,0.0762716037267113,2.7782,4.315,4.55000000000001,5.01100000000002,5.34620000000001,4.40008000000001,1.56359999999999,2.35399999999998,2.37,2.37299999999999,2.41139999999999,2.21439999999999,0.488400000000013,0.685999999999979,0.75200000000001,0.762,0.778000000000031,0.693280000000007,0.132799999999997,0.192000000000007,0.203999999999951,0.322000000000003,0.427600000000007,0.255679999999993
"6",300,0,0,0,0,0,0,0.00317780107631682,0.0125105680189133,0.0128301445808411,0.0259183110311508,0.0286632383550644,0.0162906206315231,0.013502004557636,0.0223746062899911,0.031505510723166,0.0430511901749951,0.0500679148562132,0.0320074514678434,0.0247741955023066,0.0261513060324987,0.0313094819438934,0.0569251790504297,0.0616575241242441,0.0403312990578556,0.0251664235096232,0.0267085850232442,0.0315734856180827,0.0573361096641064,0.0620795048827521,0.040732883424813,2.76080000000001,4.32400000000001,4.38499999999999,4.43400000000003,4.45960000000001,4.07268000000001,1.57699999999999,2.32499999999999,2.44100000000003,2.44900000000001,2.47220000000001,2.25284000000001,0.512000000000012,0.716000000000008,0.732000000000028,0.791999999999973,0.798400000000004,0.710080000000005,0.114600000000007,0.189000000000021,0.19599999999997,0.197999999999979,0.227600000000007,0.185039999999997
"7",350,0,0,0,0,0,0,0.00681951273326873,0.0200904404073715,0.0250179253364563,0.0360418518543243,0.0374265404105377,0.0244849421924972,0.0192305087513262,0.0343031025273207,0.0384950679153997,0.0466282170562854,0.0526916114473363,0.0378192415702865,0.0183678747864478,0.0429361973947525,0.0471520994940213,0.0573668472834587,0.0659079655860819,0.0455448366936684,0.0184240439387076,0.0430412780844552,0.0472818013723646,0.0576221464940071,0.0662692584081023,0.0457291995479448,3.0908,5.09800000000001,5.125,5.214,5.69319999999999,4.8442,1.88280000000001,3.09800000000001,3.16000000000003,3.16300000000001,3.18139999999998,2.89704000000001,0.615200000000004,1.03999999999996,1.07400000000001,1.07999999999998,1.13999999999998,0.989839999999988,0.139400000000001,0.253000000000043,0.289999999999964,0.307000000000016,0.319799999999987,0.261840000000002
"8",400,0,0,0,0,0,0,0.0124777579597473,0.0164107115242004,0.0260775224739075,0.0334115898342133,0.0577135776319122,0.0302366835964584,0.00640804444837314,0.0210190137959452,0.0226219062697322,0.0265430464274704,0.0456260602918713,0.0246672164725199,0.0196339204092526,0.042158661197865,0.0497196169762373,0.0572422425323487,0.0725392962164211,0.047897363111198,0.0196938472394848,0.0423847645260334,0.049941815380609,0.0573029969507217,0.0726774068838882,0.0480343408284783,4.77939999999996,5.64099999999996,5.81700000000001,6.41699999999992,6.44980000000005,5.82083999999998,2.47479999999998,3.02599999999995,3.07799999999997,3.08699999999999,3.10459999999994,2.95407999999997,0.927200000000039,1.048,1.07300000000009,1.08800000000008,1.11360000000002,1.04996000000005,0.254799999999955,0.262000000000057,0.295000000000073,0.358999999999924,0.375,0.309160000000002
"9",450,0,0,0,0,0,0,0.00904406739582062,0.0215316057596207,0.0334137926151276,0.0402153490972519,0.0545335027297592,0.0318391942829514,0.0125235551663026,0.018875742806219,0.0295874344133396,0.0360230450337168,0.0509156669439401,0.030012110586219,0.014709723373269,0.0352043731145647,0.0478689423195521,0.0647706051319759,0.0961538456067615,0.0522859274458991,0.0148209144605679,0.0354129232763503,0.0479592616351445,0.0649367133428573,0.0963649010179943,0.0524407516895506,3.60040000000006,6.47799999999995,6.52199999999993,6.58800000000008,7.65200000000002,6.16808000000001,1.98359999999993,3.13799999999992,3.20100000000002,3.24600000000009,3.26040000000003,2.9658,0.629199999999969,0.853999999999928,1.00999999999999,1.12199999999996,1.13240000000008,0.949519999999984,0.150600000000009,0.273000000000025,0.280999999999949,0.370000000000005,0.64839999999997,0.344599999999991
"10",500,0,0,0,0,0,0,0.0137929019157791,0.0139883934259415,0.0178759469274521,0.0193535486539841,0.0297126035415268,0.0194528570618057,0.00891542898877321,0.0173486887659479,0.0194824897691983,0.0233392340099401,0.028328942800117,0.0193107793174454,0.0144935080183792,0.0200334477647781,0.035388363910675,0.0387334712831497,0.0415556333375931,0.0299049959783173,0.0145765102638054,0.0201058896407127,0.0355576637516022,0.0388819619504929,0.0417044111085892,0.0300299408320999,3.3076,5.48199999999997,6.072,6.33400000000006,6.34999999999995,5.50912,1.99380000000006,3.26900000000001,3.27199999999993,3.303,3.32540000000001,3.03264,0.66880000000001,1.03999999999996,1.16399999999999,1.16700000000003,1.17819999999995,1.04359999999999,0.154199999999946,0.298999999999978,0.302000000000021,0.451999999999998,0.592800000000034,0.359999999999995
