"","V1","V2","V3","V4","V5"
"1",1.369,1.359,1.248,1.329,1.01900000000001
"2",1.849,1.875,1.84,1.94900000000001,1.08999999999999
"3",2.054,2.048,2.06700000000001,2.00999999999999,1.19300000000001
"4",2.70500000000001,2.65899999999999,2.65900000000002,2.61600000000001,1.392
"5",2.37,2.42099999999999,2.37299999999999,2.35399999999998,1.36599999999999
"6",2.44900000000001,2.47800000000001,2.32499999999999,2.44100000000003,1.38999999999999
"7",3.16000000000003,3.18599999999998,3.09800000000001,3.16300000000001,1.57900000000001
"8",3.07799999999997,3.02599999999995,3.10899999999992,3.08699999999999,2.33699999999999
"9",3.20100000000002,3.24600000000009,3.13799999999992,3.26400000000001,1.69499999999994
"10",3.33100000000002,3.27199999999993,3.26900000000001,3.303,1.67500000000007
"11",3.428,3.48500000000001,3.70899999999995,3.56599999999992,1.95600000000002
"12",3.58100000000002,3.66500000000008,3.56400000000008,3.5440000000001,2.01699999999994
"13",3.55100000000004,3.37900000000002,3.39499999999998,3.41200000000003,2.09000000000003
"14",3.596,3.58000000000004,3.63,3.66699999999992,2.08199999999988
"15",3.61699999999996,3.69400000000019,3.65699999999993,3.60599999999999,1.90800000000013
"16",3.37100000000009,3.48500000000013,3.47799999999984,3.53300000000013,1.95000000000005
"17",3.16200000000003,3.16200000000003,3.11799999999994,3.1880000000001,1.89499999999998
"18",3.42000000000007,3.60899999999992,3.49900000000002,3.54600000000005,1.93399999999997
"19",3.7940000000001,3.95700000000011,3.86400000000003,3.88100000000009,1.97600000000011
"20",3.48800000000006,3.41300000000001,3.37200000000007,3.42900000000009,2.04700000000003
